,End of the Year,Currency Issues of the CBSL,Government Agencies Deposit with CBSL,Commercial Bank Deposit with CBSL,Total,M1,M2,M2b,M2 velocity,M2b velocity
107,2006 Dec  ,293233.3605,1.754,146269.1851,439504.2996,0.99818692,4.988809175,5.669432251,3.729158859,3.268564705
215,2007 Dec  ,834807.8593,30.35301794,129601.5209,964439.7332,1.220553238,8.809040105,9.75253678,2.03 (b),1.84 (b)
167,2008 Dec  ,552777.8655,117.5817889,303251.2903,856146.7375,0.907116061,5.634033118,6.313866339,2.913892452,2.592229325
227,2009 Dec  ,1005099.066,5.46067262,300704.1621,1305808.689,1.118001034,7.381560132,8.153804649,1.92 (b),1.73 (b)
251,2010 Dec  ,1186503.182,8.17164225,142225.5832,1328736.937,1.247833558,8.643598604,9.926052963,2.521905815,2.190233742
95,2011 Dec  ,255652.2168,5.709,104853.4452,360511.371,1.129483688,5.028967115,5.801225698,3.987829054,3.45262631
83,2012 Dec  ,217429.8335,21.603,86085.86571,303537.3023,1.109287193,5.062820984,5.950401868,3.452561749,2.903269166
179,2013 Dec  ,598053.901,27.1906512,341712.1983,939793.29,0.844120924,6.028254598,6.712179799,2.714712909,2.434511865
143,2014 Dec  ,416895.3618,7.302,161009.3232,577911.9869,1.059253615,5.988036037,6.70664967,3.318338492,2.967909704
119,2015 Dec  ,318060.1415,13.92,166288.3779,484362.4394,0.929157121,5.353810797,6.047269438,3.74735894,3.265946064
191,2016 Dec  ,640942.5098,47.61990935,320106.1829,961096.3126,0.864422479,6.687497913,7.416839078,2.504017987,2.265958694
131,2017 Dec  ,339770.9805,4.7393,148809.8932,488585.6129,0.991797547,6.260505331,6.995402112,3.481867967,3.099684322
11,2018 Dec  ,98785,20,42642,141447,1.142724837,4.105756927,5.075081126,3.36,2.74
47,2019 Dec  ,157239.6,8.3,82615.4,239863.3,1.08263884,4.140967135,5.021829127,3.258173327,2.658793405
23,2020 Dec  ,115909,7,55051,170967,1.102277048,4.02395784,5.022279153,3.324991415,2.68603497
59,2021 Dec  ,173363.7,2.7,91053,264419.4,1.008216492,4.340613435,5.309816526,3.344476251,2.734163741
